steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
162,ENDLESS Legend,September,2014,29.99,"1,000,000","2,000,000","1,500,000",AMPLITUDE Studios,SEGA
163,The Outer Worlds,October,2020,59.99,"500,000","1,000,000","750,000",Obsidian Entertainment,Private Division
164,S.T.A.L.K.E.R.: Shadow of Chernobyl,March,2007,19.99,"1,000,000","2,000,000","1,500,000",GSC Game World,GSC Game World
165,Realm of the Mad God Exalt,February,2012,0,"2,000,000","5,000,000","3,500,000","Wild Shadow Studios, Deca Games",Deca Games
166,Crusader Kings II,February,2012,0,"2,000,000","5,000,000","3,500,000",Paradox Development Studio,Paradox Interactive
167,Lone Survivor: The Director's Cut,April,2012,14.99,"200,000","500,000","350,000",Jasper Byrne,Superflat Games
168,Arcanum: Of Steamworks and Magick Obscura,August,2001,5.99,"200,000","500,000","350,000",Troika Games,Activision
169,Disgaea 2 PC,January,2017,19.99,"100,000","200,000","150,000","Nippon Ichi Software, Inc.","NIS America, Inc."
170,Jade Empire: Special Edition,February,2007,14.99,"200,000","500,000","350,000",BioWare,"BioWare, Electronic Arts"
171,Stygian: Reign of the Old Ones,September,2019,19.99,"100,000","200,000","150,000",Cultic Games,Fulqrum Publishing
172,Ashen,December,2019,11.99,"100,000","200,000","150,000",A44,Annapurna Interactive
173,The Legend of Heroes: Trails of Cold Steel II,February,2018,39.99,"50,000","100,000","75,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
174,Trials of Fire,April,2021,19.99,"100,000","200,000","150,000",Whatboy Games,Whatboy Games
175,Divine Divinity,September,2002,5.99,"500,000","1,000,000","750,000",Larian Studios,Larian Studios
176,Paradise Killer,September,2020,9.99,"200,000","500,000","350,000",Kaizen Game Works,"Fellow Traveller, Leoful"
177,The Age of Decadence,October,2015,12.99,"50,000","100,000","75,000",Iron Tower Studio,Iron Tower Studio
178,GRIME,August,2021,24.99,"100,000","200,000","150,000",Clover Bite,Akupara Games
179,Torment: Tides of Numenera,February,2017,11.54,"200,000","500,000","350,000",inXile Entertainment,inXile Entertainment
180,Death's Gambit: Afterlife,August,2018,19.99,"200,000","500,000","350,000",White Rabbit,Serenity Forge
181,Shadowrun: Hong Kong - Extended Edition,August,2015,19.99,"500,000","1,000,000","750,000",Harebrained Schemes,Paradox Interactive
182,Suzerain,December,2020,7.49,"500,000","1,000,000","750,000",Torpor Games,Fellow Traveller
183,SteamWorld Heist,June,2016,2.99,"500,000","1,000,000","750,000",Image & Form Games,Image & Form Games
184,F.I.S.T.: Forged In Shadow Torch,October,2021,29.99,"200,000","500,000","350,000",TiGames,bilibili
185,Emily is Away Too,May,2017,4.99,"200,000","500,000","350,000",Kyle Seeley,Kyle Seeley
186,"Warhammer 40,000: Chaos Gate - Daemonhunters",May,2022,44.99,"200,000","500,000","350,000",Complex Games,Frontier Foundry
187,Overlord,June,2007,4.99,"500,000","1,000,000","750,000",Triumph Studios,"Codemasters, Electronic Arts"
188,Faeria,March,2017,19.99,"500,000","1,000,000","750,000",Abrakam Entertainment SA,Versus Evil
189,The Elder Scrolls V: Skyrim VR,April,2018,59.99,"500,000","1,000,000","750,000",Bethesda Game Studios,Bethesda Softworks
190,SUNLESS SEA,February,2015,18.99,"1,000,000","2,000,000","1,500,000",Failbetter Games,Failbetter Games
191,Ni no Kuni II: Revenant Kingdom,March,2018,59.99,"500,000","1,000,000","750,000",Level-5,BANDAI NAMCO Entertainment
192,Gothic 1,March,2001,9.99,"500,000","1,000,000","750,000",Piranha Bytes,THQ Nordic
193,Kingdoms of Amalur: Reckoning,July,1989,39.99,"1,000,000","2,000,000","1,500,000","Big Huge Games, 38 Studios","38 Studios, Electronic Arts"
194,Finding Paradise,December,2017,9.99,"200,000","500,000","350,000",Freebird Games,Freebird Games
195,Dungeon Defenders,October,2011,14.99,"2,000,000","5,000,000","3,500,000",Trendy Entertainment,Trendy Entertainment
